央视,#genre#
CCTV1-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226825/59814584.smil
CCTV3-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226930/65406412.smil
CCTV4-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226838/59814684.smil
CCTV5-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226907/65396401.smil
CCTV6-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226909/65396493.smil
CCTV7-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226827/59814693.smil
CCTV8-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226911/65406606.smil
CCTV9-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226840/59814699.smil
CCTV10-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226630/51813372.smil
CCTV11-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226986/85722616.smil
CCTV12-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226829/59814709.smil
CCTV13-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221227037/87447722.smil
CCTV-少儿-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226634/51813368.smil
CCTV15-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226988/85722541.smil
CCTV 16-4K,rtsp://115.153.207.121/PLTV/88888888/224/3221227051/92603106.smil
CCTV17-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226846/61397282.smil
CCTV5+高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226976/85722488.smil
CCTV3(付费)高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226841/63329606.smil
CCTV5(付费)高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226852/63329574.smil
CCTV6(付费)高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226843/63329570.smil
CCTV8(付费)高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226854/63329578.smil
CCTV-4K（限免）,rtsp://115.153.207.121/PLTV/88888888/224/3221227073/106537394.smil
CCTV4HD-欧洲,rtsp://115.153.207.121/PLTV/88888888/224/3221226964/77799053.smil
CCTV4HD-美洲,rtsp://115.153.207.121/PLTV/88888888/224/3221226962/77799052.smil
江西,#genre#
江西卫视-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221226656/46275837.smil
江西都市频道-高清,rtsp://115.153.207.121/PLTV/88888888/224/3221227069/94448631.smil
