央视,#genre#
广东卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225742/index.m3u8
广西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225731/index.m3u8
新疆卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225725/index.m3u8
旅游卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225722/index.m3u8
江苏卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225743/index.m3u8
江西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225746/index.m3u8
河北卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225732/index.m3u8
浙江卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225744/index.m3u8
深圳卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225741/index.m3u8
湖北卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225740/index.m3u8
湖南卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225745/index.m3u8
辽宁卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225735/index.m3u8
甘肃卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225724/index.m3u8
西藏卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225723/index.m3u8
贵州卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225728/index.m3u8
重庆卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225734/index.m3u8
陕西卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225729/index.m3u8
青海卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225727/index.m3u8
黑龙江卫视高清,http://39.137.49.76:8080/PLTV/88888910/224/3221225736/index.m3u8
农林卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226204/index.m3u8
南方卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226203/index.m3u8
康巴卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226207/index.m3u8
河南卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226196/index.m3u8
厦门卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226199/index.m3u8
康巴卫视-1,http://39.137.49.76:8080/PLTV/88888910/224/3221226263/index.m3u8
兵团卫视,http://39.137.49.76:8080/PLTV/88888888/224/3221225530/10000100000000060000000000000079_0.smil/index.m3u8
兵团卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221226200/index.m3u8
内蒙古卫视,http://39.137.49.76:8080/PLTV/88888910/224/3221225667/index.m3u8

地方卫视高清,#genre#
北京卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225674/index.m3u8
东方卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225659/index.m3u8
天津卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225698/index.m3u8
安徽卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225691/index.m3u8
东南卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221226326/index.m3u8
山东卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225697/index.m3u8
广东卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225701/index.m3u8
四川卫视[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221225487/10000100000000060000000000000126_0.smil/index.m3u8
河北卫视[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221225610/10000100000000060000000000204115_0.smil/index.m3u8
广西卫视[高清],http://39.137.49.76:8080/PLTV/88888888/224/3221226211/378719025.smil/index.m3u8
江苏卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225702/index.m3u8
江西卫视高清8M,http://39.137.49.76:8080/PLTV/88888910/224/3221225705/index.m3u8
